1328,238.53
c_6967,405.52
c_6966,433.17
c_6961,266.8
c_6960,364.04
c_6959,361.78
c_6958,364.05
c_6957,358.97
c_6956,376.26
c_6955,375.72
c_6954,277.31
c_6953,369.87
c_6952,369.9
c_6951,383.32
c_6950,378.08
c_6949,381.41
c_6948,318.71
c_6947,325.82
c_6946,357.46
c_6945,336.55
c_6944,335.97
c_6943,352.16
c_6942,357.46
c_6941,359.48
c_6940,355.14
c_6939,336.49
c_6461,376.64
c_6457,366
c_6456,376.71
c_6455,376.65
c_6454,352.42
c_6453,353.2
c_6452,353.08
c_6451,370.34
c_6450,365.49
c_6449,373.4
c_6448,350.03
c_6447,351.71
c_6446,276.01
c_6445,365.7
c_6444,364.59
c_6443,365.62
c_6442,343.17
c_6441,341.68
c_6440,341.48
c_6439,359.06
c_6438,369.96
c_6437,370.23
c_6422,371.67
c_6420,336.08
c_6419,386.05
c_6418,381.04
c_6417,315.77
c_6416,318.78
c_6415,405.51
c_6414,405.74
c_6413,323.52
c_6412,324.05
c_6411,350.35
c_6410,340.87
c_6409,375.08
c_6408,375.68
c_6407,375.77
c_6406,332.08
c_6405,333.63
c_6404,369.38
c_6403,369.46
c_6402,387.86
c_6401,387.16
c_6400,336.66
c_6399,371.34
c_6398,363.27
c_6397,363.87
c_6396,353.17
c_6395,355.46
c_6394,354.11
c_6393,357.18
c_6392,315.6
c_6391,314.46
c_6390,317.85
c_6389,348.17
c_6388,347.02
c_6387,347.08
c_6386,332.29
c_6385,339.73
c_6384,340.27
c_6383,333.6
c_6382,365.43
c_6381,366.44
c_6380,365.72
c_6379,387.78
c_6378,334.86
c_6377,352.68
c_6376,353.54
c_6375,323.27
c_6374,322.81
c_6373,368.91
c_6372,376.3
c_6371,372.39
c_6370,376.77
c_6369,369.74
c_6368,382.86
c_6367,363.67
c_6366,323.14
c_6365,352.87
c_6364,351.19
c_6363,383.63
c_6362,289.72
c_6361,321.26
c_6358,323.73
c_6357,347.19
c_6356,346.47
c_6355,276.52
c_6354,313.8
c_6353,344.96
c_6352,343.05
c_6351,301.68
c_6350,300.38
c_6349,338.48
c_6348,338.29
c_6347,385.22
c_6346,397.16
c_6345,397.07
c_6344,375.64
c_6343,346.48
c_6342,342.22
c_6341,323.3
c_6340,368.78
c_6339,370.61
c_6338,366.94
c_6337,353.98
c_6336,353.68
c_6335,353.67
c_6334,370.16
c_6333,350.08
c_6332,350.01
c_6331,350.38
c_6330,376.62
c_33273,364.87
c_33272,289.09
c_33271,293.85
c_33270,358.58
c_33269,359.1
c_33268,358.52
